P,P_lag1,Q_lag1
0.31466,7.1862,73.539
0.16684,0.31466,76.153
1.651,0.16684,71.223
0.054757,1.651,62.469
0.16043,0.054757,57.763
0.25606,0.16043,51.394
2.4174,0.25606,47.994
0.26154,2.4174,45.212
0.90331,0.26154,43.173
0.88191,0.90331,40.502
0.76611,0.88191,38.324
6.4751,0.76611,37.14
0.53895,6.4751,35.737
6.0993,0.53895,41.067
0.10269,6.0993,43.267
0.13279,0.10269,41.721
0.000776,0.13279,41.388
0.0083299,0.000776,38.509
0.13218,0.0083299,35.789
1.8639,0.13218,34.201
2.7823,1.8639,32.28
6.8428,2.7823,31.293
0.23512,6.8428,34.154
1.208,0.23512,43.731
1.6533,1.208,40.747
0.29539,1.6533,36.536
12.533,0.29539,34.565
1.9499,12.533,35.546
4.6287,1.9499,68.108
6.9155,4.6287,59.209
1.2436,6.9155,59.285
4.2375,1.2436,63.636
0.37162,4.2375,69.607
1.4069,0.37162,63.266
1.965,1.4069,60.998
5.8114,1.965,55.903
7.2033,5.8114,54.017
1.1111,7.2033,56.402
2.0032,1.1111,75.408
2.6274,2.0032,72.842
1.4271,2.6274,68.581
0.31617,1.4271,65.432
1.8726,0.31617,64.535
2.3317,1.8726,61.796
1.6405,2.3317,56.414
1.3243,1.6405,54.833
4.2053,1.3243,53.166
2.0987,4.2053,50.027
0.53067,2.0987,47.5
1.0448,0.53067,50.664
0.461,1.0448,47.512
3.0322,0.461,44.849
0.77534,3.0322,42.719
6.9627,0.77534,41.025
7.2184,6.9627,39.491
0.5254,7.2184,43.122
0.91094,0.5254,70.712
5.1359,0.91094,64.81
2.594,5.1359,56.8
9.9212,2.594,57.754
0.29526,9.9212,56.487
0.34341,0.29526,77.543
3.2484,0.34341,70.099
2.931,3.2484,59.08
5.8242,2.931,54.027
2.1811,5.8242,55.731
4.5368,2.1811,67.251
1.7227,4.5368,65.133
6.7428,1.7227,65.132
0.54994,6.7428,65.665
3.1094,0.54994,72.268
1.1288,3.1094,70.995
8.9577,1.1288,64.982
0.040302,8.9577,60.426
1.3752,0.040302,65.414
1.9722,1.3752,69.261
0.22376,1.9722,61.169
8.9018,0.22376,56.526
1.7572,8.9018,53.497
0.62254,1.7572,56.177
2.1441,0.62254,58.061
8.8143,2.1441,51.182
7.6004,8.8143,48.775
1.497,7.6004,59.09
